Year,Company name,Reporting on a Mandatory Basis, Number of single use plastic bags issued , Gross proceeds of charge (£) ,VAT (£),Costs deducted (£), Cost of changing till systems (£),Cost of staff communications (£),Cost of customer communications (£),Cost of obtaining advice on charge (£),Cost of administering donations (£),Other costs associated with implementing charge (£), Description of other costs, Net proceeds  (£) (Gross less VAT and costs) ,Use of net proceeds,Other use of net proceeds,Amount donated to good causes (£),Good causes in receipt of proceed donation,Number of paper bags issued,Number of bags for life issued,Number of fabric bags issued,Number of other bags issued,Any other information
2016-17,Butlins,:,"434,169","21,567.70","3,543.52",No costs deducted from proceeds,0,0,0,0,0,0, ,"18,024.18",Donated, ,"21,567.00",Charity/Voluntary,:,"34,400",:,:, 
2016-17,C and J Clarks International Limited,:,"4,173,738","208,686.93","41,737.38",No costs deducted from proceeds,0,0,0,0,0,0, ,"166,949.55",Donated, ,"166,949.00",Charity/Voluntary,:,:,:,:, 
2016-17,C Brewer & Sons Ltd,:,"22,327","1,116.35",223.27,No costs deducted from proceeds,0,0,0,0,0,0, ,893.08,Donated, ,893,Environment,:,:,:,:, 
2016-17,Cats Protection,:,"101,200","5,060.00",843.33,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,216.67",Retained by your company / organisation, ,"4,216.00",Charity/Voluntary,:,:,:,:, As we are a registered charity (203644) we have retained the income to apply to our charitable work. 
2016-17,Cavaghan & Gray Ltd,:,"10,969",548.45,91.4,No costs deducted from proceeds,0,0,0,0,0,0, ,457.05,Donated, Money was donated to Cumbria Wildlife Trust.,457,"Environment,Charity/Voluntary",:,:,:,:,
2016-17,CDS Superstores International LTD T/A The range,:,"4,410,505","219,999.77","36,749.69",500,0,500,0,0,0,0, ,"182,750.08",Donated, ,"182,750.00",Local causes chosen by customers or staff,:,:,:,:, 
2016-17,Center Parcs,:,"324,070","18,654.00","3,003.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"15,651.00",Donated,,"18,654.00",Charity/Voluntary,:,:,:,:, 
2016-17,Central England Co-Operative Society,:,"13,620,162","681,013.00","110,572.00","10,500.00",0,0,0,0,"10,500.00",0, ,"559,941.00",Put to other uses (supply details below),Continuation of public access defibrillator roll out. ,"504,285.00",Health,:,"2,618,362",:,:,"Cost deducted are a contribution to the internal day to day costs of administering the distribution of the carrier bag levy and does not include management time.

"
2016-17,Charles Tyrwhitt Shirts Ltd,:,"1,116",55.8,9.3,No costs deducted from proceeds,0,0,0,0,0,0, ,46.5,Donated, ,47,Charity/Voluntary,:,:,:,:, 
2016-17,Chelmsford Star Co-operative Society Ltd,:,"1,196",59.8,11.47,No costs deducted from proceeds,0,0,0,0,0,0, ,48.33,Donated, ,0, : ,:,"1,528,335",:,:,Moved away from selling single use carrier bags.
2016-17,CHESTER ZOO ENTERPRISES LTD,:,"12,942",647.1,107.85,No costs deducted from proceeds,0,0,0,0,0,0, ,539.25,Donated, ,539,Charity/Voluntary,:,"22,227",:,:," Donated to ""Act for Wildlife"""
2016-17,Choice Discount Stores Limited,:,"615,933","30,796.65","5,132.78",No costs deducted from proceeds,0,0,0,0,0,0, ,"25,663.87",Donated, ,"25,664.00","Health,Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:,
2016-17,Choice Support,:,564,35.27,7.05,No costs deducted from proceeds,0,0,0,0,0,0, ,28.22,Donated, ,28,Charity/Voluntary,:,33,:,:,"As we operate charity shops, some people donated more than 5p per bag - although 5p was the minimum charge"
2016-17,City of Bradford MDC,:,503,25.15,4.19,No costs deducted from proceeds,0,0,0,0,0,0, ,20.96,Donated, ,21,Local causes chosen by customers or staff,:,:,:,:, Proceeds donated to Lord Mayors Appeal
2016-17,Company Shop Ltd,:,"573,362","29,352.70","4,892.12",No costs deducted from proceeds,0,0,0,0,0,0, ,"24,460.58",Donated, ,"10,157.00",Local causes chosen by customers or staff,:,:,:,:, 
2016-17,Compass Group UK and Ireland Limited,:,"73,074","3,653.70",608.95,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,044.75",Donated, ,"3,045.00","Environment,Charity/Voluntary",:,:,:,:,
2016-17,Cook Trading Ltd,:,"619,360","30,968.00","5,161.00",No costs deducted from proceeds,0,0,0,0,0,0,,"25,807.00",Donated,,"25,807.00",charity/voluntary,:,:,:,:,
2016-17,Coopland and Son (Scarborough) Ltd,:,"1,165,343","58,267.15","9,711.19",No costs deducted from proceeds,0,0,0,0,0,0, ,"48,555.96",Donated, ,"48,555.00",Charity/Voluntary,:,:,:,:,"Donations split evenly between Great North Air Ambulance, Lincolnshire and Nottingham Air Ambulance, and Yorkshire Air Ambulance."
2016-17,Countrywide Farmers PLC,:,"39,872","1,993.60",332.14,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,661.46",Donated, ,0, : ,:,:,:,:, 
2016-17,Courtesy Shoes Ltd,:,"304,176","15,208.80","2,534.80",No costs deducted from proceeds,0,0,0,0,0,0, ,"12,674.00",Donated, ,0, : ,:,:,:,:,
2016-17,Croydon Logistics Ltd,:,"1,253",62.65,12.53,No costs deducted from proceeds,0,0,0,0,0,0, ,50.12,Donated, ,63,Health,:,:,:,:, Donated to Look Good Feel Better
2016-17,CVS Group plc,:,"1,875",93.75,15.63,No costs deducted from proceeds,0,0,0,0,0,0, ,78.12,Donated, ,0, : ,:,:,:,:, 
2016-17,D J Squire & Co Ltd,:,"96,068","4,803.40",800.57,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,002.83",Donated, ,"4,002.00",Charity/Voluntary,:,:,:,:,
2016-17,Debenhams Retail Ltd,:,"3,876,495","193,824.75","32,304.13",No costs deducted from proceeds,0,0,0,0,0,0, ,"161,520.62",Donated, ,"161,521.00",Charity/Voluntary,:,"11,132,476",:,:,"All proceeds are donated to the Debenhams Foundation. The Trustees of the Debenhams Foundation allocate the income received to support charities and good causes operating in England, Wales and Scotland. Further information on the activities of the Debenhams Foundation can be found at:
http://sustainability.debenhamsplc.com/debenhams-foundation/"
2016-17,Decathlon,:,"617,887","35,473.00","5,912.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"29,561.00",Retained by your company / organisation, Environmental association ,0,:,:,"34,736",:,:,Recyclable bag: 24781. International green bag: 11080. Reusable platic bags : 6542. Brown wrapping paperbag: 8913. 
2016-17,Deichmann Shoes UK Ltd,:,"1,888,561","94,428.07","18,885.61",No costs deducted from proceeds,0,0,0,0,0,0, ,"75,542.46",Donated, ,0, : ,:,:,:,:,
2016-17,Diageo,:,696,34.8,6.96,No costs deducted from proceeds,0,0,0,0,0,0, ,27.84,Donated, ,0, : ,:,:,:,:, 
2016-17,"Dickinson & Morris, part of the Samworth Brothers Group",:,"23,667","1,183.36",197.54,No costs deducted from proceeds,0,0,0,0,0,0, ,985.82,Donated, ,986,Charity/Voluntary,:,:,:,:, 
2016-17,Direct Wines Limited,:,"16,052",802.6,133.77,No costs deducted from proceeds,0,0,0,0,0,0, ,668.83,Donated, ,669,Charity/Voluntary,:,:,:,:,Where possible customers are persuaded to purchase reusable jute eco bags or reuse cardboard wine boxes instead of plastic carrier bags.
2016-17,Dobbies Garden Centres Ltd,:,"170,742","8,537.10","1,707.42",No costs deducted from proceeds,0,0,0,0,0,0, ,"6,829.68",Donated, ,"6,894.00","Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:,There is an imbalance of £65 between net proceeds and actual donations due to reporting periods being slightly different.
2016-17,Dunelm (Soft Furnishings) Ltd,:,"1,915,951","95,797.55","17,325.75",No costs deducted from proceeds,0,0,0,0,0,0, ,"78,471.80",Donated, ,"78,471.00",Charity/Voluntary,:,"129,931",:,:,
2016-17,Durham County Council,:,393,19.65,1.34,No costs deducted from proceeds,0,0,0,0,0,0, ,18.31,Donated, ,20,"Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2016-17,Duvetco Ltd,:,"25,523","1,276.15",212.69,379.74,0,0,0,0,0,379.74, Administrative Costs £10.00 and Payroll costs £369.00,683.72,Retained by your company / organisation, ,0,,:,:,:,:, From June 2016 the Company has stopped using single-use carrier bags. 
2016-17,E H Booth & Co Limited,:,"3,232,518","161,660.30","26,943.38",No costs deducted from proceeds,0,0,0,0,0,0, ,"134,716.92",Donated, ,0, : ,:,:,:,:, 
2016-17,Edmundson Electrical Ltd,:,"12,793",639.65,106.61,No costs deducted from proceeds,0,0,0,0,0,0, ,533.04,Donated, ,"1,000.00",Environment,:,:,:,:,Donated to the woodland trust for environmental reasons 
2016-17,Elim Foursquare Gospel Alliance,:,"1,431",71.55,10.52,52.6,0,52.6,0,0,0,0, ,8.43,"Donated,Retained by your company / organisation", ,0, : ,:,:,:,:, We are a group of churches and only a few use carrier bags in charity shops and one book shop hence the small amount reported. 
2016-17,Elior UK,:,"150,803","7,542.54","1,257.09",No costs deducted from proceeds,0,0,0,0,0,0, ,"6,285.45",Donated, ,"6,285.00",Charity/Voluntary,:,:,:,:, 
2016-17,Ellis Brigham Ltd,:,"43,934","2,186.84",364.48,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,822.36",Donated, ,"2,980.00","Sport,Charity/Voluntary",:,:,:,:,"All proceeds from plastic bag sales have been donated to Disability Snowsports.  The donation of  £2,980 includes  total funds collected from all stores including Scotland and stores within other companies"
2016-17,Entertainment Magpie Ltd,:,"185,954","9,298.00","1,549.67",No costs deducted from proceeds,0,0,0,0,0,0, ,"7,748.33",Donated," Proceeds split between two charities, Challenge 4 Change and Teenage Cancer Trust.","7,748.00",Local causes chosen by customers or staff,:,:,:,:, 
2016-17,Estee Lauder Cosmetics Limited,:,"81,878","4,093.90",682.32,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,411.58",Donated, ,"4,094.00",Charity/Voluntary,:,:,:,:, 
2016-17,ExtraCare Retail Limited,:,"88,981","4,472.60",745.43,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,727.17",Donated, ,"3,727.00",Charity/Voluntary,:,:,:,:, 
2016-17,Eyre & Elliston Ltd,:,231,11.55,1.92,No costs deducted from proceeds,0,0,0,0,0,0, ,9.63,Donated, ,50,Health,:,:,:,:, 
2016-17,F Hinds Ltd,:,"83,597","4,179.85",696.37,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,483.48",Donated," Donated to numerous local, staff nominated charitable causes throughout reporting period","3,484.00",Local causes chosen by customers or staff,:,:,:,:, 
2016-17,Farmfoods Limited,:,"12,830,360","641,518.00","106,920.00","10,598.00",0,0,0,0,0,"10,598.00",Estimated nominal cost to company in relation to complying with the regulations and administering donations to good causes.,"524,000.00",Donated, ,0, : ,:,:,:,:, 
2016-17,Fenwick Limited,:,"760,128","38,006.40","6,335.67",No costs deducted from proceeds,0,0,0,0,0,0, ,"31,670.73",Donated, ,"31,671.00",Charity/Voluntary,:,:,:,:,
2016-17,Frozen Value Ltd,:,"2,158,989","107,949.45","17,991.58","7,427.44",0,"1,000.00",0,0,"3,500.00","2,927.44",Stock shrinkage,"82,530.43","Donated,Retained by your company / organisation", ,0, : ,:,:,:,:, 
2016-17,Game Retail Limited,:,"1,197,353","59,867.67","11,973.52",No costs deducted from proceeds,0,0,0,0,0,0, ,"47,894.15",Donated, ,"47,894.00",Charity/Voluntary,:,:,:,:, 
2016-17,GAP Europe Limited,:,"91,605","4,438.00",740,1,0,0,0,0,0,1, Administration,"3,697.00",Donated, ,"3,698.00",Charity/Voluntary,:,:,:,:, 
2016-17,Goddard Veterinary Group,:,"18,750",937.5,156.25,No costs deducted from proceeds,0,0,0,0,0,0, ,781.25,Donated, ,781,Local causes chosen by customers or staff,:,:,:,:, 
2016-17,Grabal Alok UK Limited,:,"1,431,335","71,566.75","11,927.79",No costs deducted from proceeds,0,0,0,0,0,0, ,"59,638.96",Retained by your company / organisation, ,0,,"1,431,335",:,:,:, 
2016-17,Grafton Merchanting GB Ltd,:,"17,257",862.85,143.81,No costs deducted from proceeds,0,0,0,0,0,0, ,719.04,Donated,,719,Charity/Voluntary,:,:,:,:,
2016-17,Grainger Games Limited,:,"104,425","5,263.00",877,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,386.00",Donated, ,0, : ,:,:,:,:, 
2016-17,Greenhalgh's Craft Bakery Ltd,:,"325,926","16,296.30","2,716.05",No costs deducted from proceeds,0,0,0,0,0,0, ,"13,580.25",Donated, ,"13,580.00","Charity/Voluntary,Local causes chosen by customers or staff","4,344,251","6,343",:,:, 
2016-17,Greenwoods Menswear Limited,:,"247,266","12,363.30","2,060.55",No costs deducted from proceeds,0,0,0,0,0,0, ,"10,302.75",Donated, Donation to NSPCC,0, : ,:,:,:,:, 
2016-17,Greggs plc,:,"15,438,957","771,948.00","128,658.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"643,290.00",Donated," Proceeds were donated to the Greggs Foundation for use within their Environmental Grant Making programme which supports environmental improvements across local communities. In addition, funds were donated to Keep Britain Tidy to further support their work and research into reducing litter and to Surfers Against Sewage to support their work in reducing beach and marine litter ","643,290.00",Environment,:,:,:,:,
2016-17,Guild Care,:,"6,490",333.91,0,No costs deducted from proceeds,0,0,0,0,0,0, ,333.91,Retained by your company / organisation, ,334,Charity/Voluntary,"6,490",:,:,:," As a charity organisation,  the proceeds were retained and put towards our charitable causes."
2016-17,H&M Hennes & Mauritz UK and Ireland Ltd,:,"18,656,176","932,808.80","151,775.28",No costs deducted from proceeds,0,0,0,0,0,0,,"781,033.52",Donated,,"781,033.62", : ,:,:,:,:,
2016-17,H.I. Weldrick Ltd.,:,"16,819",840.95,140.16,150.48,0,0,0,0,0,150.48, Reporting and verification,550.31,Donated, ,550,Charity/Voluntary,:,:,:,:,£550.31 donated to Bluebell Wood
2016-17,Halfords Group Plc,:,"383,035","18,221.95","3,036.99","4,264.18",0,0,0,0,0,"4,264.18",Production costs ,"10,920.78",Donated, ,0, : ,:,:,:,:, 
2016-17,Haskins Garden Centres LTD,:,"58,585","2,929.25",488.21,No costs deducted from proceeds,0,0,0,0,0,0, ,"2,441.04",Donated, ,0, : ,:,:,:,:, 
2016-17,Haven Holidays,:,"1,051,459","52,572.97","8,762.16",No costs deducted from proceeds,0,0,0,0,0,0, ,"43,810.81",Donated, ,"43,811.00",Environment,:,:,:,:, 
2016-17,Heart of England Co-operative Society Limited,:,"1,508,713","75,619.00","12,603.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"63,016.00",Donated, ,"63,016.00","Education,Environment,Health,Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2016-17,Heathcoat Fabrics Limited,:,600,30,6,No costs deducted from proceeds,0,0,0,0,0,0, ,24,Donated, ,0, : ,:,:,:,:, 
2016-17,Helston Garages Ltd,:,"4,353",217.65,36.27,No costs deducted from proceeds,0,0,0,0,0,0, ,181.38,Donated, ,181,Charity/Voluntary,:,:,:,:,
2016-17,Hidden Hearing Ltd,:,"5,546",277.31,46.22,No costs deducted from proceeds,0,0,0,0,0,0, ,231.09,Donated, ,231,Charity/Voluntary,"5,546",:,:,:, Donated to Alzheimer Research UK.  In addition Also have charity tins in branches and request donations if a plastic bag is issued.
2016-17,Hillier Nurseries Ltd,:,"18,193",909.54,181.04,No costs deducted from proceeds,0,0,0,0,0,0, ,728.5,Donated, ,729,Health,867,:,:,:, 
2016-17,HKS Retail Limited,:,"181,246","9,062.30","1,510.38",No costs deducted from proceeds,0,0,0,0,0,0,,"7,551.92",Donated,,"9,578.00",Charity/Voluntary,:,:,:,:,"HKS Retail have made donations from the HKS Retail company that covers the amount of carrier bags sold.  
"
2016-17,HMV Retail Ltd,:,"3,259,426","162,971.30","27,161.88","65,000.00","5,000.00","15,000.00",0,"10,000.00","25,000.00","10,000.00", Annual review of carrier bag design and supplier tender.,"70,809.42",Donated, ,0, : ,:,:,:,:, 
2016-17,Hobbycraft Trading Ltd,:,"1,690,130","86,196.82","14,360.78",No costs deducted from proceeds,0,0,0,0,0,0,,"71,836.04",:,,:,:,:,:,:,:,All proceeds collected have been passed over to Together for Short Lives
2016-17,Homebase (HHGL Ltd),:,"833,228","45,507.59","8,912.32",No costs deducted from proceeds,0,0,0,0,0,0, ,"36,595.27",Donated, ,"36,595.00",Charity/Voluntary,:,:,:,:, 
2016-17,Hotel Chocolat Retail Ltd,:,"85,723","4,286.15",714.35,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,571.80",Retained by your company / organisation, ,0,,:,:,:,:, 
2016-17,House of Fraser Stores Ltd,:,"5,141,352","257,068.00","42,845.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"214,223.00",Donated, ,"214,223.00",Charity/Voluntary,:,:,:,:, 
2016-17,House of Lords Catering and Retail Services,:,"10,123",506.15,84.36,No costs deducted from proceeds,0,0,0,0,0,0, ,421.79,Donated, ,421.79,"Arts,Charity/Voluntary",:,:,:,:, 
2016-17,Hughes TV and Audio Limited,:,"9,585",480,80,No costs deducted from proceeds,0,0,0,0,0,0, ,400,Donated, ,400,Health,:,:,:,:, 
2016-17,Iceland Foods Ltd,:,"100,174,324","5,008,716.00","834,786.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"4,173,930.00",Donated, ,0, : ,:,:,:,:, 
2016-17,Imperial War Museum,:,"45,706","2,285.10",380.85,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,904.25",Retained by your company / organisation, ,0,,:,:,:,:, 
2016-17,ISS Mediclean Ltd,:,"357,489","17,874.00","2,979.00","11,500.00","3,000.00","1,000.00","1,000.00","1,000.00",500,"5,000.00", Cost of goods,"3,395.00",Donated, ,0, : ,:,:,:,:, 
2016-17,J Barbour & Sons Ltd,:,"32,789","1,639.45",273.24,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,366.21",Donated, ,0, : ,:,:,:,:, 
2016-17,J.P.MCDOUGALL & CO.LIMITED Trading as Dulux Decorator Centres,:,"45,718","4,571.80",762,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,809.80",Donated, ,0, : ,:,:,:,:, 
2016-17,Jarrold & Sons Limited,:,"112,433","5,621.65",936.94,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,684.71",Donated, ,"4,150.00",Local causes chosen by customers or staff,:,:,:,:, 
2016-17,JD Sports fashion PLC,:,"12,181,498","609,075.00","101,512.50",No costs deducted from proceeds,0,0,0,0,0,0, ,"507,562.00",Donated, ,0, : ,:,:,:,:,Details of charitable donations found in jd sports fashion plc's Annual Report & Accounts
2016-17,John Grose Group Ltd,:,"22,718","1,135.90",189.32,No costs deducted from proceeds,0,0,0,0,0,0,,946.58,Donated,,946.58,Charity/Voluntary,:,:,:,:,
2016-17,John Lewis plc,:,"11,262,946","563,147.00","93,858.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"469,289.00",Donated, ,"469,289.00",Local causes chosen by customers or staff,:,:,:,:,
2016-17,Keelham Farm Shop Limited,:,"294,378","14,718.90","2,286.48",No costs deducted from proceeds,0,0,0,0,0,0, ,"12,432.42",Donated, ,0, : ,:,"33,209",:,:, 
2016-17,KEW ELECTRICAL DISTRIBUTORS LTD,:,"1,473",73.65,0,No costs deducted from proceeds,0,0,0,0,0,0, ,73.65,Donated, ,73,Local causes chosen by customers or staff,"1,473",:,:,:, 
2016-17,Kiko UK Ltd,:,"167,181","8,359.05","1,671.81",No costs deducted from proceeds,0,0,0,0,0,0, ,"6,687.24",Retained by your company / organisation, ,0,,:,:,:,:,"The proceedings will be donated to an organisation, charity or good cause of our choosing. In the process of finding a good cause. "
2016-17,Krispy Kreme UK Ltd,:,"691,841","34,592.00","6,897.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"27,695.00",Donated, ,0, : ,:,:,:,:,
2016-17,L ROWLANDS & CO (RETAIL) LIMITED,:,"64,404","3,220.20",536.7,No costs deducted from proceeds,0,0,0,0,0,0, ,"2,683.80",Donated, ,"3,220.20",Health,"64,404",:,:,:,All of the bags sold are disposable plastic carrier bags
2016-17,Lakeland Limited,:,"277,960","13,898.00","2,316.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"11,582.00",Donated, ,"11,582.00","Environment,Charity/Voluntary",:,:,:,:, 
2016-17,Leeds Beckett University,:,"4,417",220.85,36.8,No costs deducted from proceeds,0,0,0,0,0,0, ,184.05,Donated, ,184,Charity/Voluntary,:,:,:,:, Donated to the Alzheimer Society
